"ID","pid","MATINH","Urban_Rural","age","C1","C2","TOTAL_HH_member","assets_1","assets_2","assets_3","assets_4","assets_5","assets_6","assets_7","assets_8","assets_9","assets_10","assets_11","assets_12","assets_13","assets_14","assets_15","assets_16","assets_17","assets_18","assets_19","C9","C10"
"010050016905443",3,1,1,37,1,2,4,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,
"010050016905445",1,1,1,26,1,4,4,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,
"010050016905446",4,1,1,40,1,2,4,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,
"010050016905448",3,1,1,15,1,3,5,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,
"010050016905449",3,1,1,43,1,3,4,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,
"010050016905450",2,1,1,24,1,4,5,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,
"010050016905451",5,1,1,38,1,5,7,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,
"010050016905452",2,1,1,22,1,4,4,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,
"010050016905454",4,1,1,53,1,4,5,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,
"010050016905455",1,1,1,25,1,4,4,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,
"010050016905458",1,1,1,22,1,3,3,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,
"010060018707108",3,1,1,36,1,3,6,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,
"010060018707109",1,1,1,49,1,1,3,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,
"010060018707110",1,1,1,55,1,2,2,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,
"010060018707111",3,1,1,44,1,2,4,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,
"010060018707120",2,1,1,51,1,3,3,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,
"010060018707121",2,1,1,38,1,2,3,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,
"010060018707123",4,1,1,40,1,2,5,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,
"010060018707124",2,1,1,27,1,2,2,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
"010060018707125",1,1,1,26,1,4,4,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,
"010060018707128",4,1,1,39,1,2,4,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,
